DoctorID,DoctorName,DepartmentID,ExperienceYears
1,Allison Hill,1,21
2,Noah Rhodes,1,4
3,Angie Henderson,1,1
4,Daniel Wagner,1,24
5,Cristian Santos,1,9
6,Connie Lawrence,1,8
7,Abigail Shaffer,1,8
8,Gina Moore,1,5
9,Gabrielle Davis,1,24
10,Ryan Munoz,1,4
11,Monica Herrera,1,22
12,Jamie Arnold,1,24
13,Lisa Hensley,1,29
14,Michele Williams,1,18
15,Dylan Miller,1,3
16,Brian Ramirez,1,19
17,Holly Wood,1,14
18,Derek Zuniga,1,2
19,Lisa Jackson,1,1
20,Carla Gray,1,3
21,Margaret Hawkins DDS,2,7
22,Patty Perez,2,8
23,Ethan Adams,2,17
24,Tommy Walter,2,20
25,Matthew Foster,2,1
26,Judy Baker,2,18
27,Justin Baker,2,7
28,Stephanie Ross,2,23
29,Zachary Hicks,2,21
30,Anthony Rodriguez,2,23
31,Rebecca Henderson,2,18
32,James Ferrell,2,14
33,Tricia Valencia,3,8
34,Nathan Maldonado,3,15
35,Debra Davidson,3,19
36,Jeffrey Chavez,3,9
37,Sherri Baker,3,26
38,Cassandra Gaines,3,28
39,Elizabeth Fowler,3,1
40,Brittany Farmer,3,25
41,Paula Moreno,3,26
42,Fred Smith,3,6
43,Sherry Decker,4,23
44,Anthony Humphrey,4,14
45,Angelica Tucker,4,11
46,Philip Cannon,4,9
47,John Pierce,4,5
48,Shane Henderson,4,7
49,Joshua Blair,4,25
50,Eric Carney,4,11
51,Jessica Holmes,4,4
52,Danny Morgan,4,3
53,Crystal Robinson,4,13
54,Mark Perez,4,4
55,Shannon Jones,4,12
56,Michael Lewis,4,28
57,Timothy Duncan,5,12
58,Richard Aguirre,5,20
59,Brent Jordan,5,9
60,John Daniel,5,26
61,Victoria Garcia,5,2
62,Gerald Hensley,5,24
63,Connor West,5,15
64,Donald Wright,5,18
65,Jessica Callahan,5,4
66,Amber Kidd,5,30
67,Tracy House,5,13
68,Carol Tucker,5,3
69,James Brown,6,18
70,William Baker,6,10
71,Jordan Henderson,6,27
72,Whitney Peters,6,21
73,Brittney Phillips,6,20
74,Lauren Daniels,6,29
75,Amy Silva,6,28
76,Sarah Moore,6,12
77,Angela Lopez,6,19
78,Megan Young,6,7
79,Steve Sanchez,6,23
80,Lisa Barnes,6,3
81,Kelly Donovan,6,2
82,Mike Allen,6,22
83,Michael Evans,6,8
84,Paul Jones,6,25
85,Zachary Ferrell,6,10
86,Daniel Baker,6,3
87,Shirley Suarez,7,28
88,Christopher Bass,7,8
89,Lisa Archer,7,28
90,Aimee Montoya,7,4
91,Matthew Mcmillan,7,13
92,Brian Rodriguez,7,9
93,Denise Jacobs,7,15
94,Christina Walters,7,21
95,John Whitehead,7,27
96,Anna Henderson,7,12
97,Aaron Wise,7,6
98,Deborah Figueroa,7,12
99,Jessica Smith,8,12
100,Stephen Mckee,8,7
101,Sandra Aguilar,8,22
102,Cameron Parker,8,9
103,Rebecca Valencia,8,23
104,Christine Wright,8,30
105,Richard Henson,8,22
106,Marc Moore,8,21
107,Sharon Cherry,9,3
108,Sierra Johnson,9,20
109,Evelyn Galvan,9,21
110,Sharon Cochran,9,6
111,Richard Rodriguez,9,18
112,Shannon Walker,9,24
113,Julia Torres,10,8
114,Crystal Johnson,10,6
115,Garrett Lin,10,15
116,Diana May,10,13
117,William Herrera,10,9
118,Ashley Waller,10,30
119,Victor Baker,10,21
120,Jeffrey Chandler,10,23
